Players,Country,Age,Specialism,BattingStyle,BowlingStyle,T20caps,IPL,2021Team,2021IPL,CaUcAs,ReservePrice Rs Lakh,PricePaid,Team
Ronit More,India,30,BOWLER,RHB,RIGHT ARM Fast Medium,0,2,Do No Play,0,Uncapped,20,0,UnSold
M Nidheesh,India,30,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Babasafi Pathan,India,27,BOWLER,RHB,RIGHT ARM Fast,0,0,Do No Play,0,Uncapped,20,0,UnSold
Vidyadhar Patil,India,21,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Mukesh Kumar Singh,India,28,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
R Alexandar,India,26,BOWLER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Adithya Ashok,New Zealand,19,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Jasmer Dhankhar,India,23,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Prerit Dutta,India,23,BOWLER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Jon Russ Jaggesar,West Indies,36,BOWLER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
S Kishan Kumar,India,22,BOWLER,LHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Kevin Koththigoda,Sri Lanka,23,BOWLER,LHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Swaraj Wabale,India,24,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Curtis Campher,Ireland,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,9,0,Do No Play,0,Capped,50,0,UnSold
Colin De Grandhomme,New Zealand,35,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,41,25,Do No Play,0,Capped,100,0,UnSold
James Faulkner,Australia,31,ALL-ROUNDER,RHB,LEFT ARM Medium,24,60,Do No Play,0,Capped,100,0,UnSold
Craig Overton,England,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Capped,200,0,UnSold
Wayne Parnell,South Africa,32,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,40,26,Do No Play,0,Capped,50,0,UnSold
Samit Patel,England,37,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,18,0,Do No Play,0,Capped,50,0,UnSold
Thisara Perera,Sri Lanka,33,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,84,37,Do No Play,0,Capped,50,0,UnSold
Darcy Short,Australia,31,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,23,7,Do No Play,0,Capped,100,0,UnSold
Murali Vijay,India,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,9,106,Do No Play,0,Capped,50,0,UnSold
Jack Wildermuth,Australia,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,2,0,Do No Play,0,Capped,50,0,UnSold
Hamish Bennett,New Zealand,35,BOWLER,LHB,RIGHT ARM Fast Medium,11,0,Do No Play,0,Capped,50,0,UnSold
Daryn Dupavillon,South Africa,27,BOWLER,RHB,RIGHT ARM Fast,0,0,Do No Play,0,Capped,50,0,UnSold
Fidel Edwards,West Indies,40,BOWLER,RHB,RIGHT ARM Fast,26,6,Do No Play,0,Capped,50,0,UnSold
Hamid Hassan,Afghanistan,34,BOWLER,RHB,RIGHT ARM Fast,25,0,Do No Play,0,Capped,50,0,UnSold
Lahiru Kumara,Sri Lanka,25,BOWLER,RHB,RIGHT ARM Fast,14,0,Do No Play,0,Capped,50,0,UnSold
Joel Paris,Australia,29,BOWLER,LHB,LEFT ARM Fast Medium,0,0,Do No Play,0,Capped,50,0,UnSold
S Sreesanth,India,39,BOWLER,RHB,RIGHT ARM Fast Medium,10,44,Do No Play,0,Capped,50,0,UnSold
Oshane Thomas,West Indies,25,BOWLER,LHB,RIGHT ARM Fast,20,4,Do No Play,0,Capped,50,0,UnSold
Blair Tickner,New Zealand,28,BOWLER,RHB,RIGHT ARM Fast,8,0,Do No Play,0,Capped,50,0,UnSold
Isuru Udana,Sri Lanka,34,BOWLER,RHB,LEFT ARM Fast Medium,35,10,Do No Play,0,Capped,50,0,UnSold
Donavon Ferreira,South Africa,23,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Ramesh Kumar,India,23,BATSMAN,LHB,-,0,0,Do No Play,0,Uncapped,20,2000000,KKR
Bhupen Lalwani,India,23,BATSMAN,RHB,-,0,0,Do No Play,0,Uncapped,20,0,UnSold
Henan Malik,India,25,BATSMAN,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
